"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"seq.30","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","bacterium"
"seq.31","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"seq.32","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.33","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"seq.34","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"seq.35","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.36","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"seq.37","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"seq.38","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"seq.39","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.40","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.41","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.42","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-001",NA
"seq.43","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.44","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"seq.45","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"seq.46","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA
"seq.47","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus",NA
"seq.48","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII",NA,NA
"seq.49","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
